qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3,q1_ms,q2_ms,q3_ms,race_name,year,round,circuitId,era,full_name,nationality,constructor_name,circuit_name,country,positionOrder,points,grid,dnf,grid_vs_finish,best_qual_ms,q1_vs_team_avg_ms,reached_q2,reached_q3
16,18,8,6,1,16,1:26.140,,,86140.0,,,Australian Grand Prix,2008,1,1,V8,Kimi RÃ_ikkÃÂ¦nen,Finnish,Ferrari,Albert Park Grand Prix Circuit,Australia,8,1.0,15,True,7.0,86140.0,73.0,0,0
17,18,21,10,21,17,1:27.207,,,87207.0,,,Australian Grand Prix,2008,1,1,V8,Giancarlo Fisichella,Italian,Force India,Albert Park Grand Prix Circuit,Australia,21,0.0,16,True,-5.0,87207.0,-326.0,0,0
18,18,7,5,14,18,1:27.446,,,87446.0,,,Australian Grand Prix,2008,1,1,V8,SÃÂ©bastien Bourdais,French,Toro Rosso,Albert Park Grand Prix Circuit,Australia,7,2.0,17,True,10.0,87446.0,372.0,0,0
19,18,16,10,20,19,1:27.859,,,87859.00000000001,,,Australian Grand Prix,2008,1,1,V8,Adrian Sutil,German,Force India,Albert Park Grand Prix Circuit,Australia,16,0.0,22,True,6.0,87859.00000000001,326.00000000001455,0,0
20,18,11,8,18,20,1:28.208,,,88208.0,,,Australian Grand Prix,2008,1,1,V8,Takuma Sato,Japanese,Super Aguri,Albert Park Grand Prix Circuit,Australia,11,0.0,19,True,8.0,88208.0,-425.5,0,0
21,18,12,4,6,21,1:28.330,,,88330.0,,,Australian Grand Prix,2008,1,1,V8,Nelson Piquet Jr.,Brazilian,Renault,Albert Park Grand Prix Circuit,Australia,12,0.0,20,True,8.0,88330.0,711.5,0,0
22,18,19,8,19,22,1:29.059,,,89059.0,,,Australian Grand Prix,2008,1,1,V8,Anthony Davidson,British,Super Aguri,Albert Park Grand Prix Circuit,Australia,19,0.0,21,True,2.0,89059.0,425.5,0,0
23,19,13,6,2,1,1:35.347,1:34.412,1:35.748,95347.00000000001,94412.0,95747.99999999999,Malaysian Grand Prix,2008,2,2,V8,Felipe Massa,Brazilian,Ferrari,Sepang International Circuit,Malaysia,19,0.0,1,True,-18.0,95747.99999999999,-149.0,1,1
24,19,8,6,1,2,1:35.645,1:34.188,1:36.230,95645.00000000001,94188.0,96229.99999999999,Malaysian Grand Prix,2008,2,2,V8,Kimi RÃ_ikkÃÂ¦nen,Finnish,Ferrari,Sepang International Circuit,Malaysia,1,10.0,2,False,1.0,96229.99999999999,149.0,1,1
25,19,5,1,23,3,1:35.227,1:34.759,1:36.613,95227.0,94759.0,96613.0,Malaysian Grand Prix,2008,2,2,V8,Heikki Kovalainen,Finnish,McLaren,Sepang International Circuit,Malaysia,3,6.0,8,False,5.0,96613.0,-82.5,1,1
26,19,1,1,22,4,1:35.392,1:34.627,1:36.709,95392.0,94627.00000000001,96709.0,Malaysian Grand Prix,2008,2,2,V8,Lewis Hamilton,British,McLaren,Sepang International Circuit,Malaysia,5,4.0,9,False,4.0,96709.0,82.5,1,1
27,19,15,7,11,5,1:35.205,1:34.960,1:36.711,95205.0,94960.00000000001,96711.0,Malaysian Grand Prix,2008,2,2,V8,Jarno Trulli,Italian,Toyota,Sepang International Circuit,Malaysia,4,5.0,3,False,-1.0,96711.0,-343.0,1,1
28,19,9,2,4,6,1:35.794,1:34.811,1:36.727,95794.0,94811.0,96727.0,Malaysian Grand Prix,2008,2,2,V8,Robert Kubica,Polish,BMW Sauber,Sepang International Circuit,Malaysia,2,8.0,4,False,2.0,96727.0,32.5,1,1
29,19,2,2,3,7,1:35.729,1:34.648,1:36.753,95729.0,94648.0,96753.0,Malaysian Grand Prix,2008,2,2,V8,Nick Heidfeld,German,BMW Sauber,Sepang International Circuit,Malaysia,6,3.0,5,False,-1.0,96753.0,-32.5,1,1
30,19,17,9,10,8,1:35.440,1:34.967,1:37.009,95440.0,94967.0,97009.0,Malaysian Grand Prix,2008,2,2,V8,Mark Webber,Australian,Red Bull,Sepang International Circuit,Malaysia,7,2.0,6,False,-1.0,97009.0,-309.0,1,1
31,19,4,4,5,9,1:35.983,1:35.140,1:38.450,95983.0,95140.0,98450.0,Malaysian Grand Prix,2008,2,2,V8,Fernando Alonso,Spanish,Renault,Sepang International Circuit,Malaysia,8,1.0,7,False,-1.0,98450.0,-45.5,1,1
32,19,10,7,12,10,1:35.891,1:35.000,1:39.656,95890.99999999999,95000.0,99656.0,Malaysian Grand Prix,2008,2,2,V8,Timo Glock,German,Toyota,Sepang International Circuit,Malaysia,21,0.0,10,True,-11.0,99656.0,342.99999999998545,1,1
33,19,18,11,16,11,1:35.847,1:35.208,,95847.00000000001,95208.0,,Malaysian Grand Prix,2008,2,2,V8,Jenson Button,British,Honda,Sepang International Circuit,Malaysia,10,0.0,11,False,1.0,95208.0,-175.5,1,0
34,19,14,9,9,12,1:36.058,1:35.408,,96058.0,95408.0,,Malaysian Grand Prix,2008,2,2,V8,David Coulthard,British,Red Bull,Sepang International Circuit,Malaysia,9,0.0,12,False,3.0,95408.0,309.0,1,0
35,19,12,4,6,13,1:36.074,1:35.562,,96074.0,95562.0,,Malaysian Grand Prix,2008,2,2,V8,Nelson Piquet Jr.,Brazilian,Renault,Sepang International Circuit,Malaysia,11,0.0,13,False,2.0,95562.0,45.5,1,0
36,19,22,11,17,14,1:36.198,1:35.622,,96198.00000000001,95622.0,,Malaysian Grand Prix,2008,2,2,V8,Rubens Barrichello,Brazilian,Honda,Sepang International Circuit,Malaysia,13,0.0,14,False,1.0,95622.0,175.5,1,0
37,19,20,5,15,15,1:36.111,1:35.648,,96110.99999999999,95648.0,,Malaysian Grand Prix,2008,2,2,V8,Sebastian Vettel,German,Toro Rosso,Sepang International Circuit,Malaysia,18,0.0,15,True,-3.0,95648.0,-283.0,1,0
38,19,3,3,7,16,1:35.843,1:35.670,,95843.0,95670.0,,Malaysian Grand Prix,2008,2,2,V8,Nico Rosberg,German,Williams,Sepang International Circuit,Malaysia,14,0.0,16,False,2.0,95670.0,-272.5,1,0
39,19,21,10,21,17,1:36.240,,,96240.00000000001,,,Malaysian Grand Prix,2008,2,2,V8,Giancarlo Fisichella,Italian,Force India,Sepang International Circuit,Malaysia,12,0.0,17,False,5.0,96240.00000000001,-430.49999999998545,0,0
40,19,6,3,8,18,1:36.388,,,96388.0,,,Malaysian Grand Prix,2008,2,2,V8,Kazuki Nakajima,Japanese,Williams,Sepang International Circuit,Malaysia,17,0.0,22,False,5.0,96388.0,272.5,0,0
41,19,7,5,14,19,1:36.677,,,96676.99999999999,,,Malaysian Grand Prix,2008,2,2,V8,SÃÂ©bastien Bourdais,French,Toro Rosso,Sepang International Circuit,Malaysia,22,0.0,18,True,-4.0,96676.99999999999,283.0,0,0
42,19,11,8,18,20,1:37.087,,,97087.0,,,Malaysian Grand Prix,2008,2,2,V8,Takuma Sato,Japanese,Super Aguri,Sepang International Circuit,Malaysia,16,0.0,19,False,3.0,97087.0,-197.0,0,0
43,19,16,10,20,21,1:37.101,,,97101.0,,,Malaysian Grand Prix,2008,2,2,V8,Adrian Sutil,German,Force India,Sepang International Circuit,Malaysia,20,0.0,20,True,0.0,97101.0,430.5,0,0
44,19,19,8,19,22,1:37.481,,,97481.0,,,Malaysian Grand Prix,2008,2,2,V8,Anthony Davidson,British,Super Aguri,Sepang International Circuit,Malaysia,15,0.0,21,False,6.0,97481.0,197.0,0,0
45,20,9,2,4,1,1:32.893,1:31.745,1:33.096,92893.0,91745.0,93096.0,Bahrain Grand Prix,2008,3,3,V8,Robert Kubica,Polish,BMW Sauber,Bahrain International Circuit,Bahrain,3,6.0,1,False,-2.0,93096.0,-122.0,1,1
46,20,13,6,2,2,1:31.937,1:31.188,1:33.123,91937.0,91188.0,93122.99999999999,Bahrain Grand Prix,2008,3,3,V8,Felipe Massa,Brazilian,Ferrari,Bahrain International Circuit,Bahrain,1,10.0,2,False,1.0,93122.99999999999,-357.5,1,1
47,20,1,1,22,3,1:32.750,1:31.922,1:33.292,92750.0,91922.0,93292.0,Bahrain Grand Prix,2008,3,3,V8,Lewis Hamilton,British,McLaren,Bahrain International Circuit,Bahrain,13,0.0,3,False,-10.0,93292.0,-153.5,1,1
48,20,8,6,1,4,1:32.652,1:31.933,1:33.418,92652.0,91933.0,93418.0,Bahrain Grand Prix,2008,3,3,V8,Kimi RÃ_ikkÃÂ¦nen,Finnish,Ferrari,Bahrain International Circuit,Bahrain,2,8.0,4,False,2.0,93418.0,357.5,1,1
49,20,5,1,23,5,1:33.057,1:31.718,1:33.488,93057.0,91718.0,93488.0,Bahrain Grand Prix,2008,3,3,V8,Heikki Kovalainen,Finnish,McLaren,Bahrain International Circuit,Bahrain,5,4.0,5,False,0.0,93488.0,153.5,1,1
50,20,2,2,3,6,1:33.137,1:31.909,1:33.737,93137.0,91908.99999999999,93737.0,Bahrain Grand Prix,2008,3,3,V8,Nick Heidfeld,German,BMW Sauber,Bahrain International Circuit,Bahrain,4,5.0,6,False,2.0,93737.0,122.0,1,1
51,20,15,7,11,7,1:32.493,1:32.159,1:33.994,92493.0,92158.99999999999,93994.0,Bahrain Grand Prix,2008,3,3,V8,Jarno Trulli,Italian,Toyota,Bahrain International Circuit,Bahrain,6,3.0,7,False,1.0,93994.0,-153.5,1,1
52,20,3,3,7,8,1:32.903,1:32.185,1:34.015,92902.99999999999,92185.0,94015.0,Bahrain Grand Prix,2008,3,3,V8,Nico Rosberg,German,Williams,Bahrain International Circuit,Bahrain,8,1.0,8,False,0.0,94015.0,-241.50000000001455,1,1
53,20,18,11,16,9,1:32.793,1:32.362,1:35.057,92793.0,92362.0,95057.0,Bahrain Grand Prix,2008,3,3,V8,Jenson Button,British,Honda,Bahrain International Circuit,Bahrain,21,0.0,9,True,-12.0,95057.0,-75.5,1,1
54,20,4,4,5,10,1:32.947,1:32.345,1:35.115,92947.0,92345.0,95115.00000000001,Bahrain Grand Prix,2008,3,3,V8,Fernando Alonso,Spanish,Renault,Bahrain International Circuit,Bahrain,10,0.0,10,False,0.0,95115.00000000001,-14.0,1,1
55,20,17,9,10,11,1:33.194,1:32.371,,93194.0,92371.00000000001,,Bahrain Grand Prix,2008,3,3,V8,Mark Webber,Australian,Red Bull,Bahrain International Circuit,Bahrain,7,2.0,11,False,4.0,92371.00000000001,-119.5,1,0
56,20,22,11,17,12,1:32.944,1:32.508,,92944.0,92508.00000000001,,Bahrain Grand Prix,2008,3,3,V8,Rubens Barrichello,Brazilian,Honda,Bahrain International Circuit,Bahrain,11,0.0,12,False,1.0,92508.00000000001,75.5,1,0
57,20,10,7,12,13,1:32.800,1:32.528,,92800.0,92527.99999999999,,Bahrain Grand Prix,2008,3,3,V8,Timo Glock,German,Toyota,Bahrain International Circuit,Bahrain,9,0.0,13,False,4.0,92527.99999999999,153.5,1,0
58,20,12,4,6,14,1:32.975,1:32.790,,92975.0,92789.99999999999,,Bahrain Grand Prix,2008,3,3,V8,Nelson Piquet Jr.,Brazilian,Renault,Bahrain International Circuit,Bahrain,20,0.0,14,True,-6.0,92789.99999999999,14.0,1,0
59,20,7,5,14,15,1:33.415,1:32.915,,93414.99999999999,92914.99999999999,,Bahrain Grand Prix,2008,3,3,V8,SÃÂ©bastien Bourdais,French,Toro Rosso,Bahrain International Circuit,Bahrain,15,0.0,15,False,0.0,92914.99999999999,-356.00000000001455,1,0
60,20,6,3,8,16,1:33.386,1:32.943,,93386.0,92943.0,,Bahrain Grand Prix,2008,3,3,V8,Kazuki Nakajima,Japanese,Williams,Bahrain International Circuit,Bahrain,14,0.0,16,False,2.0,92943.0,241.5,1,0
61,20,14,9,9,17,1:33.433,,,93433.0,,,Bahrain Grand Prix,2008,3,3,V8,David Coulthard,British,Red Bull,Bahrain International Circuit,Bahrain,18,0.0,17,False,-1.0,93433.0,119.5,0,0
62,20,21,10,21,18,1:33.501,,,93501.0,,,Bahrain Grand Prix,2008,3,3,V8,Giancarlo Fisichella,Italian,Force India,Bahrain International Circuit,Bahrain,12,0.0,18,False,6.0,93501.0,-30.5,0,0
63,20,20,5,15,19,1:34.127,,,94127.00000000001,,,Bahrain Grand Prix,2008,3,3,V8,Sebastian Vettel,German,Toro Rosso,Bahrain International Circuit,Bahrain,22,0.0,19,True,-3.0,94127.00000000001,356.00000000001455,0,0
64,20,16,10,20,20,1:33.562,,,93562.0,,,Bahrain Grand Prix,2008,3,3,V8,Adrian Sutil,German,Force India,Bahrain International Circuit,Bahrain,19,0.0,20,False,1.0,93562.0,30.5,0,0
65,20,19,8,19,21,1:34.140,,,94140.0,,,Bahrain Grand Prix,2008,3,3,V8,Anthony Davidson,British,Super Aguri,Bahrain International Circuit,Bahrain,16,0.0,21,False,5.0,94140.0,-792.5,0,0
66,20,11,8,18,22,1:35.725,,,95725.0,,,Bahrain Grand Prix,2008,3,3,V8,Takuma Sato,Japanese,Super Aguri,Bahrain International Circuit,Bahrain,17,0.0,22,False,5.0,95725.0,792.5,0,0
67,21,8,6,1,1,1:20.701,1:20.784,1:21.813,80701.0,80783.99999999999,81813.0,Spanish Grand Prix,2008,4,4,V8,Kimi RÃ_ikkÃÂ¦nen,Finnish,Ferrari,Circuit de Barcelona-Catalunya,Spain,1,10.0,1,False,0.0,81813.0,-413.5,1,1
68,21,4,4,5,2,1:21.347,1:20.804,1:21.904,81347.00000000001,80804.0,81904.0,Spanish Grand Prix,2008,4,4,V8,Fernando Alonso,Spanish,Renault,Circuit de Barcelona-Catalunya,Spain,15,0.0,2,True,-13.0,81904.0,-30.999999999985448,1,1
69,21,13,6,2,3,1:21.528,1:20.584,1:22.058,81527.99999999999,80584.0,82058.0,Spanish Grand Prix,2008,4,4,V8,Felipe Massa,Brazilian,Ferrari,Circuit de Barcelona-Catalunya,Spain,2,8.0,3,False,1.0,82058.0,413.49999999998545,1,1
70,21,9,2,4,4,1:21.423,1:20.597,1:22.065,81423.0,80597.00000000001,82065.0,Spanish Grand Prix,2008,4,4,V8,Robert Kubica,Polish,BMW Sauber,Circuit de Barcelona-Catalunya,Spain,4,5.0,4,False,0.0,82065.0,-21.5,1,1
71,21,1,1,22,5,1:21.366,1:20.825,1:22.096,81366.0,80825.0,82096.0,Spanish Grand Prix,2008,4,4,V8,Lewis Hamilton,British,McLaren,Circuit de Barcelona-Catalunya,Spain,3,6.0,5,False,2.0,82096.0,-32.0,1,1
72,21,5,1,23,6,1:21.430,1:20.817,1:22.231,81430.0,80817.0,82231.0,Spanish Grand Prix,2008,4,4,V8,Heikki Kovalainen,Finnish,McLaren,Circuit de Barcelona-Catalunya,Spain,17,0.0,6,True,-11.0,82231.0,32.0,1,1
73,21,17,9,10,7,1:21.494,1:20.984,1:22.429,81494.0,80984.00000000001,82429.0,Spanish Grand Prix,2008,4,4,V8,Mark Webber,Australian,Red Bull,Circuit de Barcelona-Catalunya,Spain,5,4.0,7,False,2.0,82429.0,-158.0,1,1
74,21,15,7,11,8,1:21.158,1:20.907,1:22.529,81158.0,80907.0,82529.0,Spanish Grand Prix,2008,4,4,V8,Jarno Trulli,Italian,Toyota,Circuit de Barcelona-Catalunya,Spain,8,1.0,8,False,0.0,82529.0,-134.5,1,1
75,21,2,2,3,9,1:21.466,1:20.815,1:22.542,81466.00000000001,80815.0,82542.0,Spanish Grand Prix,2008,4,4,V8,Nick Heidfeld,German,BMW Sauber,Circuit de Barcelona-Catalunya,Spain,9,0.0,9,False,0.0,82542.0,21.500000000014552,1,1
76,21,12,4,6,10,1:21.409,1:20.894,1:22.699,81408.99999999999,80894.0,82699.0,Spanish Grand Prix,2008,4,4,V8,Nelson Piquet Jr.,Brazilian,Renault,Circuit de Barcelona-Catalunya,Spain,20,0.0,10,True,-10.0,82699.0,30.999999999985448,1,1
77,21,22,11,17,11,1:21.548,1:21.049,,81548.0,81049.0,,Spanish Grand Prix,2008,4,4,V8,Rubens Barrichello,Brazilian,Honda,Circuit de Barcelona-Catalunya,Spain,16,0.0,11,True,-5.0,81049.0,-104.5,1,0
78,21,6,3,8,12,1:21.690,1:21.117,,81690.0,81117.0,,Spanish Grand Prix,2008,4,4,V8,Kazuki Nakajima,Japanese,Williams,Circuit de Barcelona-Catalunya,Spain,7,2.0,12,False,5.0,81117.0,109.0,1,0
79,21,18,11,16,13,1:21.757,1:21.211,,81757.0,81211.0,,Spanish Grand Prix,2008,4,4,V8,Jenson Button,British,Honda,Circuit de Barcelona-Catalunya,Spain,6,3.0,13,False,7.0,81211.0,104.5,1,0
80,21,10,7,12,14,1:21.427,1:21.230,,81426.99999999999,81230.0,,Spanish Grand Prix,2008,4,4,V8,Timo Glock,German,Toyota,Circuit de Barcelona-Catalunya,Spain,11,0.0,14,False,3.0,81230.0,134.49999999998545,1,0
81,21,3,3,7,15,1:21.472,1:21.349,,81472.00000000001,81349.0,,Spanish Grand Prix,2008,4,4,V8,Nico Rosberg,German,Williams,Circuit de Barcelona-Catalunya,Spain,14,0.0,15,True,1.0,81349.0,-108.99999999998545,1,0
82,21,7,5,14,16,1:21.540,1:21.724,,81539.99999999999,81724.0,,Spanish Grand Prix,2008,4,4,V8,SÃÂ©bastien Bourdais,French,Toro Rosso,Circuit de Barcelona-Catalunya,Spain,19,0.0,16,True,-3.0,81724.0,-284.00000000001455,1,0
83,21,14,9,9,17,1:21.810,,,81810.0,,,Spanish Grand Prix,2008,4,4,V8,David Coulthard,British,Red Bull,Circuit de Barcelona-Catalunya,Spain,12,0.0,17,False,5.0,81810.0,158.0,0,0
84,21,20,5,15,18,1:22.108,,,82108.0,,,Spanish Grand Prix,2008,4,4,V8,Sebastian Vettel,German,Toro Rosso,Circuit de Barcelona-Catalunya,Spain,22,0.0,18,True,-4.0,82108.0,284.0,0,0
85,21,21,10,21,19,1:22.516,,,82515.99999999999,,,Spanish Grand Prix,2008,4,4,V8,Giancarlo Fisichella,Italian,Force India,Circuit de Barcelona-Catalunya,Spain,10,0.0,19,False,9.0,82515.99999999999,-354.00000000001455,0,0
86,21,16,10,20,20,1:23.224,,,83224.0,,,Spanish Grand Prix,2008,4,4,V8,Adrian Sutil,German,Force India,Circuit de Barcelona-Catalunya,Spain,21,0.0,20,True,-1.0,83224.0,354.0,0,0
87,21,19,8,19,21,1:23.318,,,83318.0,,,Spanish Grand Prix,2008,4,4,V8,Anthony Davidson,British,Super Aguri,Circuit de Barcelona-Catalunya,Spain,18,0.0,21,True,3.0,83318.0,-89.0,0,0
88,21,11,8,18,22,1:23.496,,,83496.0,,,Spanish Grand Prix,2008,4,4,V8,Takuma Sato,Japanese,Super Aguri,Circuit de Barcelona-Catalunya,Spain,13,0.0,22,False,9.0,83496.0,89.0,0,0
89,22,13,6,2,1,1:25.994,1:26.192,1:27.617,85994.0,86192.0,87617.0,Turkish Grand Prix,2008,5,5,V8,Felipe Massa,Brazilian,Ferrari,Istanbul Park,Turkey,1,10.0,1,False,0.0,87617.0,-231.5,1,1
90,22,5,1,23,2,1:26.736,1:26.290,1:27.808,86736.0,86289.99999999999,87808.0,Turkish Grand Prix,2008,5,5,V8,Heikki Kovalainen,Finnish,McLaren,Istanbul Park,Turkey,12,0.0,2,False,-10.0,87808.0,272.0,1,1
91,22,1,1,22,3,1:26.192,1:26.477,1:27.923,86192.0,86477.0,87923.0,Turkish Grand Prix,2008,5,5,V8,Lewis Hamilton,British,McLaren,Istanbul Park,Turkey,2,8.0,3,False,1.0,87923.0,-272.0,1,1
92,22,8,6,1,4,1:26.457,1:26.050,1:27.936,86457.0,86050.0,87936.0,Turkish Grand Prix,2008,5,5,V8,Kimi RÃ_ikkÃÂ¦nen,Finnish,Ferrari,Istanbul Park,Turkey,3,6.0,4,False,1.0,87936.0,231.5,1,1
93,22,9,2,4,5,1:26.761,1:26.129,1:28.390,86761.0,86129.0,88390.0,Turkish Grand Prix,2008,5,5,V8,Robert Kubica,Polish,BMW Sauber,Istanbul Park,Turkey,4,5.0,5,False,1.0,88390.0,-173.0,1,1
94,22,17,9,10,6,1:26.773,1:26.466,1:28.417,86773.0,86466.00000000001,88417.0,Turkish Grand Prix,2008,5,5,V8,Mark Webber,Australian,Red Bull,Istanbul Park,Turkey,7,2.0,6,False,-1.0,88417.0,-83.0,1,1
95,22,4,4,5,7,1:26.836,1:26.522,1:28.422,86836.0,86521.99999999999,88422.0,Turkish Grand Prix,2008,5,5,V8,Fernando Alonso,Spanish,Renault,Istanbul Park,Turkey,6,3.0,7,False,1.0,88422.0,-366.0,1,1
96,22,15,7,11,8,1:26.695,1:26.822,1:28.836,86695.0,86822.0,88836.0,Turkish Grand Prix,2008,5,5,V8,Jarno Trulli,Italian,Toyota,Istanbul Park,Turkey,10,0.0,8,False,-2.0,88836.0,40.5,1,1
97,22,2,2,3,9,1:27.107,1:27.607,1:28.882,87107.0,87607.0,88882.0,Turkish Grand Prix,2008,5,5,V8,Nick Heidfeld,German,BMW Sauber,Istanbul Park,Turkey,5,4.0,9,False,4.0,88882.0,173.0,1,1
98,22,14,9,9,10,1:26.939,1:26.520,1:29.959,86939.0,86520.0,89959.0,Turkish Grand Prix,2008,5,5,V8,David Coulthard,British,Red Bull,Istanbul Park,Turkey,9,0.0,10,False,1.0,89959.0,83.0,1,1
99,22,3,3,7,11,1:27.367,1:27.012,,87367.0,87012.0,,Turkish Grand Prix,2008,5,5,V8,Nico Rosberg,German,Williams,Istanbul Park,Turkey,8,1.0,11,False,3.0,87012.0,-90.0,1,0
100,22,22,11,17,12,1:27.355,1:27.219,,87355.0,87219.0,,Turkish Grand Prix,2008,5,5,V8,Rubens Barrichello,Brazilian,Honda,Istanbul Park,Turkey,14,0.0,12,False,-2.0,87219.0,-36.5,1,0
101,22,18,11,16,13,1:27.428,1:27.298,,87428.0,87298.0,,Turkish Grand Prix,2008,5,5,V8,Jenson Button,British,Honda,Istanbul Park,Turkey,11,0.0,13,False,2.0,87298.0,36.5,1,0
102,22,20,5,15,14,1:27.442,1:27.412,,87442.0,87412.0,,Turkish Grand Prix,2008,5,5,V8,Sebastian Vettel,German,Toro Rosso,Istanbul Park,Turkey,17,0.0,14,False,-3.0,87412.0,-89.5,1,0
103,22,10,7,12,15,1:26.614,1:27.806,,86614.0,87806.0,,Turkish Grand Prix,2008,5,5,V8,Timo Glock,German,Toyota,Istanbul Park,Turkey,13,0.0,15,False,2.0,87806.0,-40.5,1,0
104,22,6,3,8,16,1:27.547,,,87547.0,,,Turkish Grand Prix,2008,5,5,V8,Kazuki Nakajima,Japanese,Williams,Istanbul Park,Turkey,19,0.0,16,True,-3.0,87547.0,90.0,0,0
105,22,12,4,6,17,1:27.568,,,87568.0,,,Turkish Grand Prix,2008,5,5,V8,Nelson Piquet Jr.,Brazilian,Renault,Istanbul Park,Turkey,15,0.0,17,False,2.0,87568.0,366.0,0,0
106,22,7,5,14,18,1:27.621,,,87621.0,,,Turkish Grand Prix,2008,5,5,V8,SÃÂ©bastien Bourdais,French,Toro Rosso,Istanbul Park,Turkey,18,0.0,18,True,0.0,87621.0,89.5,0,0
107,22,21,10,21,19,1:27.807,,,87807.0,,,Turkish Grand Prix,2008,5,5,V8,Giancarlo Fisichella,Italian,Force India,Istanbul Park,Turkey,20,0.0,20,True,0.0,87807.0,-259.0,0,0
108,22,16,10,20,20,1:28.325,,,88325.0,,,Turkish Grand Prix,2008,5,5,V8,Adrian Sutil,German,Force India,Istanbul Park,Turkey,16,0.0,19,False,3.0,88325.0,259.0,0,0
109,23,13,6,2,1,1:15.190,1:15.110,1:15.787,75190.0,75110.0,75787.0,Monaco Grand Prix,2008,6,6,V8,Felipe Massa,Brazilian,Ferrari,Circuit de Monaco,Monaco,3,6.0,1,False,-2.0,75787.0,-263.5,1,1
